CLAVE,CLAVE_ENT,NOM_ENT,NOM_MUN,SEXO,AÑO,POB_00_11,POB_12_29,POB_30_59,POB_60_mm,POB_TOTAL
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,1990,58470,93091,68661,16137,236359
9002,9,Ciudad de México,Azcapotzalco,MUJERES,1990,56636,93242,77391,23429,250698
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,1991,56775,90967,69632,16384,233758
9002,9,Ciudad de México,Azcapotzalco,MUJERES,1991,55039,91226,78493,23756,248514
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,1992,55265,88820,70693,16651,231429
9002,9,Ciudad de México,Azcapotzalco,MUJERES,1992,53625,89178,79690,24104,246597
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,1993,53783,86533,71736,16904,228956
9002,9,Ciudad de México,Azcapotzalco,MUJERES,1993,52237,86986,80854,24426,244503
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,1994,52306,84130,72750,17150,226336
9002,9,Ciudad de México,Azcapotzalco,MUJERES,1994,50847,84694,81971,24722,242234
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,1995,50746,81786,73477,17389,223398
9002,9,Ciudad de México,Azcapotzalco,MUJERES,1995,49405,82356,82807,25039,239607
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,1996,49577,80099,74238,17699,221613
9002,9,Ciudad de México,Azcapotzalco,MUJERES,1996,48274,80621,83690,25409,237994
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,1997,48450,78374,75047,18035,219906
9002,9,Ciudad de México,Azcapotzalco,MUJERES,1997,47168,78852,84576,25797,236393
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,1998,47308,76467,75763,18379,217917
9002,9,Ciudad de México,Azcapotzalco,MUJERES,1998,46057,76963,85386,26189,234595
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,1999,46151,74378,76363,18727,215619
9002,9,Ciudad de México,Azcapotzalco,MUJERES,1999,44943,74951,86098,26587,232579
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2000,45024,72406,77013,19202,213645
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2000,43862,73041,86866,27120,230889
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2001,44088,71019,77940,19797,212844
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2001,42953,71762,87945,27905,230565
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2002,43190,69814,78868,20398,212270
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2002,42085,70549,89048,28709,230391
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2003,42220,68642,79720,20991,211573
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2003,41171,69350,90135,29514,230170
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2004,41184,67423,80453,21590,210650
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2004,40218,68125,91178,30333,229854
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2005,40158,66165,80889,22190,209402
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2005,39263,66990,92007,31137,229397
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2006,39258,65040,80767,22671,207736
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2006,38355,65989,92448,31778,228570
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2007,38326,63901,80341,23069,205637
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2007,37458,64958,92691,32366,227473
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2008,37443,62933,79924,23438,203738
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2008,36556,63909,92818,32919,226202
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2009,36587,62055,79521,23778,201941
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2009,35629,62773,92788,33433,224623
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2010,35712,61230,79152,24278,200372
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2010,34689,61650,92755,34089,223183
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2011,34990,60530,79007,24880,199407
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2011,33732,60530,92904,35015,222181
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2012,34144,59807,78905,25512,198368
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2012,32670,59430,93047,36004,221151
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2013,33252,58944,78756,26137,197089
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2013,31582,58272,93088,37014,219956
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2014,32338,57926,78552,26768,195584
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2014,30484,57025,93002,38047,218558
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2015,31517,57143,78521,27241,194422
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2015,29470,56025,92927,38906,217328
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2016,31182,57835,80348,28117,197482
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2016,29185,56475,94592,39757,220009
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2017,30856,58514,82251,29097,200718
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2017,28925,56928,96270,40685,222808
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2018,30462,59164,84186,30153,203965
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2018,28623,57379,97937,41690,225629
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2019,29999,59782,86136,31245,207162
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2019,28278,57810,99585,42755,228428
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2020,29321,59880,87761,31963,208925
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2020,27763,57826,101036,43565,230190
9002,9,Ciudad de México,Azcapotzalco,HOMBRES,2021,28291,58483,87956,32860,207590
9002,9,Ciudad de México,Azcapotzalco,MUJERES,2021,26989,57256,102446,44477,231168
